Rawon_etal_EPSL_2016_Major_Elements,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
130130_04A,48.92,1.19,18.27,9.17,0.17,7.80,8.16,2.62,0.76,0.29
130130_02D,49.17,1.27,18.65,8.99,0.17,7.15,8.46,3.25,0.95,0.39
130107_01A,49.62,1.20,18.18,8.97,0.16,7.19,7.87,2.79,0.85,0.34
130107_01B,45.97,1.39,19.76,9.85,0.16,7.69,7.50,2.65,0.72,0.43
130111_08A,51.36,1.10,17.61,8.45,0.15,7.55,8.90,2.91,0.77,0.33
130116_11E,51.38,1.39,18.20,8.46,0.16,4.99,9.09,3.38,1.34,0.50
130121_10A,50.08,1.16,18.00,8.68,0.16,7.41,8.90,3.25,0.91,0.31
115_01A,52.00,1.40,18.15,8.46,0.16,5.09,9.09,3.67,1.38,0.50
130120_06A,43.54,1.11,22.88,9.51,0.13,4.80,7.40,2.41,0.31,0.14
226_05A,50.96,1.49,17.25,10.01,0.17,4.31,8.00,3.77,0.64,0.31
130108_03C_STAR,50.21,1.29,20.22,9.16,0.17,3.53,8.47,3.29,0.61,0.23
130108_02A,52.21,1.29,19.03,8.98,0.16,3.57,7.99,3.54,0.78,0.22
130108_08C,52.02,1.49,17.39,10.00,0.18,4.36,8.18,3.74,0.66,0.30
130108_03D,52.15,1.57,18.18,9.89,0.18,3.36,6.81,3.61,0.91,0.29
130107_02B,55.07,1.11,17.32,8.17,0.16,4.49,7.91,3.90,0.88,0.21
130122_02A,55.14,0.96,19.51,7.18,0.14,2.47,5.30,3.77,1.09,0.18
130108_01C,53.67,1.52,17.66,9.31,0.18,3.29,6.84,3.84,1.01,0.29
130115_03B,54.20,1.51,17.19,9.43,0.19,3.31,6.95,3.92,1.04,0.30
227_01A,55.10,1.11,17.59,8.29,0.16,4.86,7.97,3.88,0.83,0.21
130116_03A,53.78,1.54,17.55,9.41,0.18,3.12,6.52,3.90,1.07,0.30
130108_08Bii,56.01,1.47,16.55,8.95,0.18,3.17,6.72,4.18,1.20,0.30
120_03A,55.67,1.37,16.33,9.31,0.18,3.60,7.38,4.12,1.02,0.26
130107_02C,55.06,1.10,17.44,8.17,0.16,4.64,7.86,3.82,0.90,0.20
130129_04A,56.33,1.27,17.71,8.10,0.17,2.91,7.16,4.33,1.00,0.25
130107_02D,54.59,1.09,17.57,8.25,0.16,4.86,8.04,3.78,0.84,0.20
130116_02A,56.48,1.45,16.59,8.85,0.18,3.12,6.65,4.21,1.22,0.30
130115_04A,56.35,1.41,17.04,8.57,0.19,2.83,6.06,4.46,1.08,0.30
130108_01G,56.80,1.40,16.96,8.61,0.20,2.85,6.10,4.45,1.09,0.30
124_06Aii,57.02,1.45,16.40,8.83,0.17,3.24,6.88,4.35,1.23,0.30
130108_08Bii,56.01,1.47,16.55,8.95,0.18,3.17,6.72,4.18,1.20,0.30
124_01A,54.99,1.46,16.62,9.22,0.18,3.59,7.60,4.06,1.07,0.27
130116_03B,54.71,1.12,17.57,8.31,0.16,4.82,8.00,3.80,0.86,0.21
130116_08B,57.34,1.35,16.60,8.29,0.18,2.85,6.42,4.59,1.14,0.27
124_06Ai ,57.02,1.45,16.40,8.83,0.17,3.24,6.88,4.35,1.23,0.30
130109_07A,59.19,1.18,16.94,6.89,0.16,2.57,5.83,4.77,1.30,0.34
121_04A,59.32,0.87,17.25,6.39,0.13,3.42,6.27,4.19,0.95,0.19
130122_04A,59.67,1.25,16.47,7.15,0.18,2.47,5.53,4.95,1.28,0.32
116_10Aii,60.71,1.21,16.46,6.86,0.17,2.31,5.22,5.05,1.37,0.33
130109_01Aii,60.72,1.11,16.68,6.07,0.16,2.16,5.12,5.03,1.47,0.36
