UNZEN_MAJOR,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5
LOBE 3,65.39,0.65,16.05,4.35,0.1,2.33,4.96,3.59,2.41,0.16
LOBE 11/8,64.67,0.66,16.09,4.6,0.1,2.61,5.22,3.57,2.36,0.14
C7-5-7,63.1,0.82,16.9,5.12,0.13,3.57,6.17,2.47,1.52,0.2
C14-4-3,66.46,0.65,15.86,4.03,0.1,2.15,4.94,3.14,2.5,0.17
970719-4X,61.7,0.88,16.91,5.26,0.13,3.2,5.92,3.58,2.21,0.21
C9-1-10,62.11,0.85,17.39,5.37,0.12,2.99,5.64,2.68,2.64,0.22
980217-9,64.15,0.7,15.67,4.94,0.13,2.82,5.1,3.79,2.51,0.19
970719-5,66.79,0.58,15.52,3.81,0.12,2.1,4.21,3.73,2.99,0.15
950727-3,60.65,0.86,16.3,6.32,0.15,3.89,6.37,3.18,2.1,0.18
LOBE 10,64.95,0.65,16.06,4.45,0.1,2.57,5.11,3.55,2.4,0.16
C1-2-2,58.77,0.98,17.04,7.04,0.14,4.43,6.98,2.35,2.04,0.23
950726-4,61.6,0.82,15.68,6.02,0.16,3.6,6.35,3.26,2.32,0.19
C15-3-2,66.29,0.63,16.29,3.72,0.1,2.07,5.21,3.14,2.38,0.17
C6-4-6,63.17,0.81,17.59,4.89,0.1,2.2,5.37,2.89,2.77,0.2
C12-2-3,63.36,0.86,18.15,5.42,0.11,2.99,4.26,3.14,1.52,0.21
980217-2,64.96,0.68,15.78,4.5,0.12,2.64,4.84,3.67,2.64,0.17
LOBE 11/7,64.54,0.68,15.96,4.67,0.1,2.81,5.27,3.47,2.33,0.17
1663LAVA,58.01,0.94,17.42,6.41,0.13,4.34,7.45,3.34,1.74,0.21
970719-10X,56.48,1.22,16.98,7.9,0.2,4,7.46,3.73,1.79,0.24
C2-2-4,62.91,0.8,16.34,5.57,0.14,2.54,6.57,2.83,2.11,0.2
LOBE 7?,65.56,0.63,16.03,4.28,0.1,2.31,4.92,3.57,2.43,0.16
LOBE 1,65.31,0.66,16.01,4.4,0.1,2.37,5,3.58,2.4,0.16
C11-2-6,64.36,0.74,16.91,4.77,0.07,1.48,5.05,3.26,3.17,0.19
C12-7-3,64.02,0.73,16.6,4.73,0.12,2.32,5.87,3,2.43,0.19
980217-12X,57.75,0.92,17.66,6.45,0.14,4.18,7.67,3.5,1.51,0.22
C13-3-9,65.83,0.64,15.93,4.2,0.1,1.98,5.3,3.4,2.47,0.16
UZ-92081301A,64.58,0.7,15.84,5.04,0.09,2.65,4.86,3.61,2.5,0.14
LOBE 8?,65.14,0.65,15.9,4.42,0.1,2.6,5.12,3.51,2.39,0.16
C8-1-12,65.65,0.63,15.97,4.13,0.1,1.95,5.31,3.5,2.6,0.17
C13-1-10,65.64,0.66,16.14,4.23,0.1,2.15,5.18,3.26,2.47,0.17
C16-1-8,66.56,0.65,16.15,3.91,0.1,1.82,4.95,3.16,2.55,0.17
LOBE 12,65.12,0.65,15.98,4.44,0.1,2.54,5.06,3.52,2.41,0.16
980218-1,66.34,0.61,15.69,3.89,0.11,2.32,4.66,3.79,2.44,0.15
980217-1,57.84,0.96,17.34,6.54,0.15,4.3,7.38,3.46,1.81,0.22
C11-1-11,65.31,0.7,16.34,4.47,0.1,2.84,5.28,3.14,1.64,0.19
LOBE 4,65.59,0.66,15.96,4.37,0.1,2.3,4.89,3.57,2.41,0.16
C11-9-3,62.24,0.77,16.93,5.27,0.1,2.7,5.82,3.38,2.61,0.18
LOBE 13,65.45,0.67,15.7,4.49,0.1,2.57,4.86,3.48,2.52,0.16
C14-1-3,66.23,0.63,15.73,4.11,0.1,2.15,5.1,3.26,2.53,0.17
C5-4-2,66.15,0.73,16.29,4.69,0.09,2.11,5.05,3.06,1.64,0.19
980217-7,58.72,1.18,16.51,6.89,0.15,3.97,6.58,3.62,2.05,0.33
C1-10-7,68.66,0.65,16.47,3.3,0.09,1.87,4.55,1.97,2.27,0.17
C12-1-2,61.47,0.83,17.51,5.13,0.15,2.49,7.16,2.3,2.77,0.2
SPINE,65.95,0.64,15.65,4.32,0.1,2.39,4.71,3.51,2.58,0.15
